method,rank,query_artist,query_song,query_genre,match_artist,match_song,match_genre,score,hit
raw_inner_product,1,The Black Keys,Next Girl,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2459.0,False
raw_inner_product,2,The Black Keys,Next Girl,blues,Calvin Harris,The Girls,electronic,2248.0,False
raw_inner_product,3,The Black Keys,Next Girl,blues,Eminem,8 Mile,hip hop,2121.0,False
raw_inner_product,1,Eric Clapton,Floating Bridge,blues,Lauryn Hill,Interlude 5,r&b/soul,2423.0,False
raw_inner_product,2,Eric Clapton,Floating Bridge,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2285.0,False
raw_inner_product,3,Eric Clapton,Floating Bridge,blues,Eminem,8 Mile,hip hop,1863.0,False
raw_inner_product,1,Etta James,My Dearest Darling,blues,Lauryn Hill,Interlude 5,r&b/soul,1609.0,False
raw_inner_product,2,Etta James,My Dearest Darling,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1603.0,False
raw_inner_product,3,Etta James,My Dearest Darling,blues,Eminem,My Darling,hip hop,1567.0,False
raw_inner_product,1,The Black Keys,Black Door,blues,Kandi,I Wanna Know,r&b/soul,1868.0,False
raw_inner_product,2,The Black Keys,Black Door,blues,Lauryn Hill,Interlude 5,r&b/soul,1536.0,False
raw_inner_product,3,The Black Keys,Black Door,blues,Mario Vazquez,Everytime I...,r&b/soul,1227.0,False
raw_inner_product,1,Etta James,I Just Want To Make Love To You,blues,Lauryn Hill,Interlude 5,r&b/soul,7889.0,False
raw_inner_product,2,Etta James,I Just Want To Make Love To You,blues,Twista,I'm A Winner (Amended Album Version),hip hop,7104.0,False
raw_inner_product,3,Etta James,I Just Want To Make Love To You,blues,Erykah Badu,I Want You,r&b/soul,6291.0,False
raw_inner_product,1,John Mayer,Vultures,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3132.0,False
raw_inner_product,2,John Mayer,Vultures,blues,Lauryn Hill,Interlude 5,r&b/soul,3012.0,False
raw_inner_product,3,John Mayer,Vultures,blues,R. Kelly,I Mean (I Don't Mean It),r&b/soul,2988.0,False
raw_inner_product,1,Eric Clapton,Alberta,blues,Lauryn Hill,Interlude 5,r&b/soul,1647.0,False
raw_inner_product,2,Eric Clapton,Alberta,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1532.0,False
raw_inner_product,3,Eric Clapton,Alberta,blues,Eminem,My Darling,hip hop,1249.0,False
raw_inner_product,1,Blake Shelton,Nobody But Me (Album Version),blues,Lauryn Hill,Interlude 5,r&b/soul,4601.0,False
raw_inner_product,2,Blake Shelton,Nobody But Me (Album Version),blues,Twista,I'm A Winner (Amended Album Version),hip hop,3701.0,False
raw_inner_product,3,Blake Shelton,Nobody But Me (Album Version),blues,Erykah Badu,I Want You,r&b/soul,3608.0,False
raw_inner_product,1,The Black Keys,These Days,blues,Lauryn Hill,Interlude 5,r&b/soul,2558.0,False
raw_inner_product,2,The Black Keys,These Days,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2148.0,False
raw_inner_product,3,The Black Keys,These Days,blues,Erykah Badu,I Want You,r&b/soul,1884.0,False
raw_inner_product,1,The Black Keys,All Hands Against His Own,blues,Lauryn Hill,Interlude 5,r&b/soul,2681.0,False
raw_inner_product,2,The Black Keys,All Hands Against His Own,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1936.0,False
raw_inner_product,3,The Black Keys,All Hands Against His Own,blues,Michael Jackson,Man In The Mirror,pop,1542.0,False
raw_inner_product,1,Etta James,W.O.M.A.N.,blues,Lauryn Hill,Interlude 5,r&b/soul,2237.0,False
raw_inner_product,2,Etta James,W.O.M.A.N.,blues,Electrelane,Cut And Run,punk,1879.0,False
raw_inner_product,3,Etta James,W.O.M.A.N.,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1744.0,False
raw_inner_product,1,The Black Keys,Oceans and Streams,blues,Lauryn Hill,Interlude 5,r&b/soul,2328.0,False
raw_inner_product,2,The Black Keys,Oceans and Streams,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2215.0,False
raw_inner_product,3,The Black Keys,Oceans and Streams,blues,Eminem,8 Mile,hip hop,1918.0,False
raw_inner_product,1,The Black Keys,When The Lights Go Out,blues,Lauryn Hill,Interlude 5,r&b/soul,2209.0,False
raw_inner_product,2,The Black Keys,When The Lights Go Out,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1781.0,False
raw_inner_product,3,The Black Keys,When The Lights Go Out,blues,Erykah Badu,I Want You,r&b/soul,1457.0,False
raw_inner_product,1,The Black Keys,The Flame,blues,Lauryn Hill,Interlude 5,r&b/soul,2219.0,False
raw_inner_product,2,The Black Keys,The Flame,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1494.0,False
raw_inner_product,3,The Black Keys,The Flame,blues,Eminem,My Darling,hip hop,1236.0,False
raw_inner_product,1,Ray Charles,Losing Hand,blues,Lauryn Hill,Interlude 5,r&b/soul,3227.0,False
raw_inner_product,2,Ray Charles,Losing Hand,blues,Twista,I'm A Winner (Amended Album Version),hip hop,2963.0,False
raw_inner_product,3,Ray Charles,Losing Hand,blues,Erykah Badu,I Want You,r&b/soul,2841.0,False
raw_inner_product,1,The Black Keys,Hard Row,blues,Lauryn Hill,Interlude 5,r&b/soul,2371.0,False
raw_inner_product,2,The Black Keys,Hard Row,blues,Twista,I'm A Winner (Amended Album Version),hip hop,2137.0,False
raw_inner_product,3,The Black Keys,Hard Row,blues,Michael Jackson,Man In The Mirror,pop,1713.0,False
raw_inner_product,1,R. Kelly,Hump Bounce,blues,Lauryn Hill,Interlude 5,r&b/soul,5557.0,False
raw_inner_product,2,R. Kelly,Hump Bounce,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,4567.0,False
raw_inner_product,3,R. Kelly,Hump Bounce,blues,Erykah Badu,I Want You,r&b/soul,4088.0,False
raw_inner_product,1,Ray Charles,C.C. Rider,blues,Lauryn Hill,Interlude 5,r&b/soul,7547.0,False
raw_inner_product,2,Ray Charles,C.C. Rider,blues,Twista,I'm A Winner (Amended Album Version),hip hop,6158.0,False
raw_inner_product,3,Ray Charles,C.C. Rider,blues,Eminem,My Darling,hip hop,5473.0,False
raw_inner_product,1,The Black Keys,Ten Cent Pistol,blues,The Corrs,Queen Of Hollywood ( LP Version ),pop,902.0,False
raw_inner_product,2,The Black Keys,Ten Cent Pistol,blues,Twiztid,She Ain't Afraid,hip hop,889.0,False
raw_inner_product,3,The Black Keys,Ten Cent Pistol,blues,Lauryn Hill,Interlude 5,r&b/soul,799.0,False
