track_id,song_id,artist_id,artist_name,song_title,release,release_year,duration,artist_familiarity,artist_hotttnesss,genre,top_tags,n_words,nnz_words,l2_norm,is_test,dot_rank1_song,dot_rank1_score,dot_rank2_song,dot_rank2_score,dot_rank3_song,dot_rank3_score,centered_dot_rank1_song,centered_dot_rank1_score,centered_dot_rank2_song,centered_dot_rank2_score,centered_dot_rank3_song,centered_dot_rank3_score,correlation_rank1_song,correlation_rank1_score,correlation_rank2_song,correlation_rank2_score,correlation_rank3_song,correlation_rank3_score,cosine_rank1_song,cosine_rank1_score,cosine_rank2_song,cosine_rank2_score,cosine_rank3_song,cosine_rank3_score,tfidf_dot_rank1_song,tfidf_dot_rank1_score,tfidf_dot_rank2_song,tfidf_dot_rank2_score,tfidf_dot_rank3_song,tfidf_dot_rank3_score,tfidf_centered_dot_rank1_song,tfidf_centered_dot_rank1_score,tfidf_centered_dot_rank2_song,tfidf_centered_dot_rank2_score,tfidf_centered_dot_rank3_song,tfidf_centered_dot_rank3_score,tfidf_correlation_rank1_song,tfidf_correlation_rank1_score,tfidf_correlation_rank2_song,tfidf_correlation_rank2_score,tfidf_correlation_rank3_song,tfidf_correlation_rank3_score,tfidf_cosine_rank1_song,tfidf_cosine_rank1_score,tfidf_cosine_rank2_song,tfidf_cosine_rank2_score,tfidf_cosine_rank3_song,tfidf_cosine_rank3_score
TRAECHJ12903CC36DA,SOCQQSU12AB0185BF4,ARS8GNX1187B9B5141,The Black Keys,Next Girl,Tighten Up,2010,198.21669,0.835271500301,0.7417239014,blues,blues rock; rock; Garage Rock; blues; indie,178,69,28.089144,0,The Isley Brothers - Touch Me,1007.0,Charley Patton - Shake It And Break It,1003.0,K-Ci & JoJo - Baby Come Back,974.0,Charley Patton - Shake It And Break It,915.7949999999965,The Isley Brothers - Touch Me,885.3612499999833,K-Ci & JoJo - Baby Come Back,873.1437500000078,The Jeff Healey Band - My Little Girl,0.6612700940139942,Jorma Kaukonen - Police Dog Blues,0.5768552197148981,Jackie Greene - About Cell Block #9,0.554663867137301,The Jeff Healey Band - My Little Girl,0.6748369848356612,Jorma Kaukonen - Police Dog Blues,0.5930655560845238,Jackie Greene - About Cell Block #9,0.5742949264363791,The Isley Brothers - Touch Me,109.43686030795925,B.B. King - Saturday Night Fish Fry,104.61079485230937,Ten Years After - Losing The Dogs,98.65880621714957,Ray Charles - I Got a Woman,73.59390196071497,K-Ci & JoJo - Baby Come Back,67.63216986666215,Ten Years After - Losing The Dogs,67.36456054832927,The Jeff Healey Band - My Little Girl,0.23720898677074745,Leadbelly - Keep Your Hands Off Her,0.23648506145346018,Ray Charles - I Got a Woman,0.21045168384354052,The Jeff Healey Band - My Little Girl,0.2820794833548549,Leadbelly - Keep Your Hands Off Her,0.26084951865605543,Ray Charles - I Got a Woman,0.2574723927543689
TRAZQIG128F146372E,SOFZYKR12A6D4F72A5,ARLAUED1187B9ACEAF,Eric Clapton,Floating Bridge,Another Ticket,1981,393.9522,0.791830356538,0.635429400415,blues,blues; rock; guitar; blues-rock; powerful,194,68,26.776856,0,Robin Trower - Day Of The Eagle,1291.0,The Isley Brothers - Touch Me,1206.0,Lemar - The Way Love Goes,902.0,Robin Trower - Day Of The Eagle,1178.352499999971,The Isley Brothers - Touch Me,1088.8387500000129,Lemar - The Way Love Goes,826.8362499999776,Jackie Greene - About Cell Block #9,0.6376201798270503,Bessie Smith - Graveyard Dream Blues,0.5964599553386409,Fats Domino - The Fat Man,0.5903678554581947,Jackie Greene - About Cell Block #9,0.653763644614063,Bessie Smith - Graveyard Dream Blues,0.6111423767801077,Fats Domino - The Fat Man,0.6024065076607759,Blind Willie Johnson - If I Had My Way I'd Tear This Building Down,138.18703374441117,The Isley Brothers - Touch Me,113.7960308611771,Blind Willie McTell - Searching The Dessrt For The Blues,113.60211098776008,Blind Willie Johnson - If I Had My Way I'd Tear This Building Down,102.6245742673843,The Allman Brothers Band - Stormy Monday,91.06676713298809,Blind Willie McTell - Searching The Dessrt For The Blues,79.62745937376197,The Allman Brothers Band - Stormy Monday,0.28696926401100564,John Lee Hooker - Down At The Landing,0.24337488303530913,Little Walter - Mean Old Frisco,0.22511598359149906,The Allman Brothers Band - Stormy Monday,0.31500095678640405,John Lee Hooker - Down At The Landing,0.2760864804031255,Blind Willie Johnson - If I Had My Way I'd Tear This Building Down,0.2612009271291069
TRBFTHL128C7196B42,SODJRCC12D02192374,AR66H0N1187B9AE91E,Etta James,My Dearest Darling,Her Best - The Chess 50th Anniversary Collection,1960,178.6771,0.774411519667,0.641347950577,blues,blues; soul; jazz; Etta James; female vocalists,94,47,16.370706,0,The Isley Brothers - Touch Me,728.0,Lemar - The Way Love Goes,642.0,Susan Tedeschi - Loving You Is Sweeter Than Ever,636.0,The Isley Brothers - Touch Me,665.3150000000038,Lemar - The Way Love Goes,601.7849999999951,Susan Tedeschi - Loving You Is Sweeter Than Ever,600.8249999999925,Shannon Curfman - If You Change Your Mind,0.6327683563143432,Fleetwood Mac - Need Your Love Tonight,0.6051225277781115,Tommy Johnson - Lonesome Home Blues,0.6009935645397343,Shannon Curfman - If You Change Your Mind,0.6443405007595979,Fleetwood Mac - Need Your Love Tonight,0.61925351244114,Jonny Lang - Breakin Me,0.6159757469362741,Sandi Thom - Wounded Hearts,72.66571319933641,Janis Joplin - Kozmic Blues,67.14118653275496,Lloyd Price - Just Because,65.55382590252293,Sandi Thom - Wounded Hearts,59.648868062099226,Lloyd Price - Just Because,55.98316700324469,The Mick Fleetwood Blues Band - Black Magic Woman,54.42236242663743,Sandi Thom - Wounded Hearts,0.2662757964206882,The Mick Fleetwood Blues Band - Black Magic Woman,0.2631810965466372,Lloyd Price - Just Because,0.26004246822197113,Sandi Thom - Wounded Hearts,0.3048812760128719,The Mick Fleetwood Blues Band - Black Magic Woman,0.29190762888344546,Lloyd Price - Just Because,0.2913211877766061
TRBYDKJ12903CA9D33,SOTXSMC12AB0182217,ARS8GNX1187B9B5141,The Black Keys,Black Door,Magic Potion,2006,210.36363,0.835271500301,0.7417239014,blues,blues rock; rock; blues; Garage Rock; indie rock,65,35,16.093477,0,Janis Joplin - Kozmic Blues,588.0,The Isley Brothers - Touch Me,576.0,K-Ci & JoJo - Baby Come Back,561.0,Janis Joplin - Kozmic Blues,552.009999999996,The Isley Brothers - Touch Me,531.9712500000019,K-Ci & JoJo - Baby Come Back,524.4937500000012,Buddy Guy - I Didn't Know My Mother Had A Son Like Me,0.583088106522049,Albert Collins - Master Charge,0.5788303005142826,John Lee Hooker - Black Cat Blues,0.5717522072911523,Buddy Guy - I Didn't Know My Mother Had A Son Like Me,0.5921658286304508,Albert Collins - Master Charge,0.5883804579197484,John Lee Hooker - Black Cat Blues,0.5814345392330654,K-Ci & JoJo - Baby Come Back,62.20070504334669,Janis Joplin - Kozmic Blues,60.1634530159583,Albert Collins - Master Charge,51.872652225103636,K-Ci & JoJo - Baby Come Back,52.342444927775716,Janis Joplin - Kozmic Blues,44.844658528108724,Tom Waits - I Don't Wanna Grow Up,40.588179931438304,K-Ci & JoJo - Baby Come Back,0.24509488565425025,Buddy Guy - Please Don't Drive Me Away,0.22990675269453967,B.B. King - Christmas Celebration,0.2166988934252922,K-Ci & JoJo - Baby Come Back,0.2766569616434358,Buddy Guy - Please Don't Drive Me Away,0.25252543830034796,B.B. King - Christmas Celebration,0.24389676139812336
TRCFPJF128F428A872,SOKCCML12D021B0FC6,AR66H0N1187B9AE91E,Etta James,I Just Want To Make Love To You,Live From San Francisco,1960,182.25587,0.774411519667,0.641347950577,blues,blues; soul; female vocalists; jazz; 50s,263,57,51.797683,0,Lemar - The Way Love Goes,2836.0,Avant - I Wanna Know,2620.0,Susan Tedeschi - Loving You Is Sweeter Than Ever,2513.0,Lemar - The Way Love Goes,2732.111250000044,Avant - I Wanna Know,2533.471250000003,The Blues Brothers - Everybody Needs Somebody To Love,2423.2849999999917,Willie Dixon - I Just Want To Make Love To You,0.8572527623051341,Shannon McNally - Down And Dirty,0.7872605296519795,The Blues Brothers - Everybody Needs Somebody To Love,0.7670746959289165,Willie Dixon - I Just Want To Make Love To You,0.8602212578815764,Shannon McNally - Down And Dirty,0.792464293172531,The Blues Brothers - Everybody Needs Somebody To Love,0.7728666819929048,Willie Dixon - I Just Want To Make Love To You,116.44517703600054,Jimmy Dawkins - Kant Sheck Dees Bluze,101.40489488056181,Janis Joplin - Kozmic Blues,94.33781580772894,Willie Dixon - I Just Want To Make Love To You,109.27370127728626,Jimmy Dawkins - Kant Sheck Dees Bluze,78.72856617799248,Big Bill Broonzy - Big Bill Blues,72.03807754018861,Willie Dixon - I Just Want To Make Love To You,0.696046168514114,Roy Orbison - Candy Man,0.2598636355669762,Leadbelly - Keep Your Hands Off Her,0.2590917368946497,Willie Dixon - I Just Want To Make Love To You,0.7093138579497326,Roy Orbison - Candy Man,0.2873321189036386,Big Bill Broonzy - Big Bill Blues,0.2869809251406442
TRCXKPC128F92FD04C,SOEFNXT12AB017E829,ARZENOX1187B98A645,John Mayer,Vultures,Where The Light Is: John Mayer Live In Los Angeles,0,319.92118,0.837947909189,0.788137758283,blues,blues; john mayer; rock; singer-songwriter; acoustic,285,97,37.416574,0,The Isley Brothers - Touch Me,1706.0,K-Ci & JoJo - Baby Come Back,1663.0,Robin Trower - Day Of The Eagle,1659.0,The Isley Brothers - Touch Me,1529.8850000000082,K-Ci & JoJo - Baby Come Back,1516.9750000000047,Robin Trower - Day Of The Eagle,1489.6700000000299,Buddy Guy - Trouble Man,0.6009507340420281,Tommy Castro - Nasty Habits,0.5993008607796807,Jonny Lang - Breakin Me,0.5865645803187914,Buddy Guy - Trouble Man,0.6179611419944212,Tommy Castro - Nasty Habits,0.6141252838285853,Jonny Lang - Breakin Me,0.607208142508302,The Isley Brothers - Touch Me,122.80519899347694,B.B. King - Saturday Night Fish Fry,115.86556788398522,Janis Joplin - Kozmic Blues,112.68107767619941,Robin Trower - Day Of The Eagle,68.1207700398414,Status Quo - Going Down Town Tonight,62.34080204904499,B.B. King - Saturday Night Fish Fry,61.57029042534168,Skip James - Hard Time Killin' Floor Blues,0.21542569156226532,Bonnie Raitt - I Can't Make You Love Me,0.2043464016152602,Neil Young - Stayin' Power (Remastered Album Version),0.2035297698478409,Skip James - Hard Time Killin' Floor Blues,0.2694270391097632,Bonnie Raitt - I Can't Make You Love Me,0.25765203519166047,Kelly Joe Phelps - Hard Time Killin' Floor Blues,0.2484241010199867
TRDDDDX128E0793212,SOIOOIR12A58A7EBB8,ARLAUED1187B9ACEAF,Eric Clapton,Alberta,Eric Clapton Blues,1992,172.22485,0.791830356538,0.635429400415,blues,blues; classic rock; rock; blues rock; eric clapton,84,35,18.439089,0,Shannon McNally - Down And Dirty,622.0,The Blues Brothers - Everybody Needs Somebody To Love,616.0,Susan Tedeschi - Loving You Is Sweeter Than Ever,593.0,Shannon McNally - Down And Dirty,594.837500000002,The Blues Brothers - Everybody Needs Somebody To Love,583.6099999999994,Susan Tedeschi - Loving You Is Sweeter Than Ever,558.6624999999996,Shannon McNally - Down And Dirty,0.6132646651337131,J.J. Cale - Crazy Mama,0.5869978632629408,Rory Gallagher - No Peace For The Wicked,0.5800108199721161,Shannon McNally - Down And Dirty,0.623717588308047,J.J. Cale - Crazy Mama,0.5965587590013044,Rory Gallagher - No Peace For The Wicked,0.5928770614382411,Mississippi Fred McDowell - Louise,78.95626921672132,Janis Joplin - Misery 'N,63.56327851608346,Chuck Berry - I Got To Find My Baby,63.29414783819666,Mississippi Fred McDowell - Louise,66.12766577105968,Chuck Berry - I Got To Find My Baby,55.20759742375847,Janis Joplin - Misery 'N,48.94500048066032,Chuck Berry - I Got To Find My Baby,0.291765656231594,Steve Miller Band - Fanny Mae,0.2647687325569954,Rory Gallagher - Don't Know Where I'm Going,0.2428681350902946,Chuck Berry - I Got To Find My Baby,0.3203732629154028,Steve Miller Band - Fanny Mae,0.29187665239890803,Rory Gallagher - Don't Know Where I'm Going,0.2772527571032994
TREQYGT128E07859FA,SOZOJBP12A6701E425,ARV9LSS1187B98C471,Blake Shelton,Nobody But Me (Album Version),Blake Shelton's Barn And Grill,0,158.69342,0.778928237221,0.661461594223,blues,Blake Shelton; good songs; Alan Jackson - Blues Man; Blake Shelton-Nobody but me,236,68,42.011903,0,The Isley Brothers - Touch Me,1850.0,Avant - I Wanna Know,1840.0,Robin Trower - Day Of The Eagle,1828.0,Avant - I Wanna Know,1751.876249999988,The Isley Brothers - Touch Me,1685.0787500000176,Robin Trower - Day Of The Eagle,1669.4325000000101,Blind Willie McTell - Come On Around To My House Mama,0.641225636833472,John Mayall - Don't Waste My Time,0.6350304825040408,Buddy Guy - Please Don't Drive Me Away,0.6264543265877172,Blind Willie McTell - Come On Around To My House Mama,0.653931277165999,John Mayall - Don't Waste My Time,0.6476479470012971,Jon B. - Love Don't Do,0.6394156968807148,Blind Willie McTell - Come On Around To My House Mama,140.0054974632304,Janis Joplin - Kozmic Blues,127.02570608984817,The Isley Brothers - Touch Me,124.18296384735905,Blind Willie McTell - Come On Around To My House Mama,115.31203193753007,Mississippi Fred McDowell - Louise,89.77572437396209,Fats Domino - I'm Gonna Be a Wheel Someday,88.91190235040875,LaVern Baker - Tweedlee Dee,0.2836981673600599,Blind Willie McTell - Come On Around To My House Mama,0.2793699115877216,Hazmat Modine - Everybody Loves You,0.27801610821971817,Blind Willie McTell - Come On Around To My House Mama,0.3198004598312601,LaVern Baker - Tweedlee Dee,0.31301718864548517,Hazmat Modine - Everybody Loves You,0.3004138584170134
TREVCQU12903CCD318,SOGECRB12AB018C9AB,ARS8GNX1187B9B5141,The Black Keys,These Days,Brothers,2010,311.32689,0.835271500301,0.7417239014,blues,blues; rock; blues rock; Garage Rock; Arguman-loved tracks,169,79,24.515301,0,Robin Trower - Day Of The Eagle,870.0,Charley Patton - Shake It And Break It,869.0,Lemar - The Way Love Goes,836.0,Charley Patton - Shake It And Break It,787.1449999999987,Lemar - The Way Love Goes,762.751250000019,Robin Trower - Day Of The Eagle,760.2225000000084,Mississippi John Hurt - Nobody's Dirty Business,0.5616930694031704,Blues Traveler - Hook,0.5609767847535948,Jonny Lang - Breakin Me,0.5403690631444947,Blues Traveler - Hook,0.5822116478256972,Mississippi John Hurt - Nobody's Dirty Business,0.5773431794828754,Jonny Lang - Breakin Me,0.5630750332553363,Jackie Greene - Hollywood,91.86802030832706,Blind Willie McTell - Searching The Dessrt For The Blues,82.21475487900994,Blind Willie Johnson - If I Had My Way I'd Tear This Building Down,81.14972261900807,Joe Bonamassa - One of these Days,54.36180488656977,Jackie Greene - Hollywood,53.313532881509225,Chris Rea - That's The Way It Goes,52.01397808795958,Blind Willie McTell - Love Changing Blues,0.19978555872136153,Joe Bonamassa - One of these Days,0.17328896385998943,Jeff Healey - It's Only Money,0.15285040208079187,Blind Willie McTell - Love Changing Blues,0.23869596049237796,Joe Bonamassa - One of these Days,0.21799731872951386,Leon Russell - My Father's Shoes (1995 Digital Remaster),0.2109207838107764
TRFBNZN128F9340B0E,SONGYFE12AB018562D,ARS8GNX1187B9B5141,The Black Keys,All Hands Against His Own,Rubber Factory,2004,196.91057,0.835271500301,0.7417239014,blues,blues; blues rock; rock; indie rock; blues-rock,196,65,31.796226,0,Charley Patton - Shake It And Break It,961.0,Robin Trower - Day Of The Eagle,882.0,The Blues Brothers - Everybody Needs Somebody To Love,728.0,Charley Patton - Shake It And Break It,868.4449999999973,Robin Trower - Day Of The Eagle,757.8724999999887,The Blues Brothers - Everybody Needs Somebody To Love,659.6650000000017,Rory Gallagher - No Peace For The Wicked,0.41928099392079593,The Gregg Allman Band - Demons,0.40942149259788774,Aretha Franklin - Jim,0.38185617117996734,Rory Gallagher - No Peace For The Wicked,0.4421854649542968,The Gregg Allman Band - Demons,0.43318602728812855,Aretha Franklin - Jim,0.40900990195970566,Jackie Greene - Hollywood,229.97415814630952,Leadbelly - Backwater Blues,132.5370319702212,Etta James - A Sunday Kind of Love,106.10763301850454,Jackie Greene - Hollywood,189.3839234490551,Leadbelly - Backwater Blues,108.10327256515691,Etta James - A Sunday Kind of Love,85.87392284560512,Jackie Greene - Hollywood,0.35367755593210165,Rivulets - Can't I Wonder,0.25886172173212124,Leadbelly - Backwater Blues,0.25837917984358405,Jackie Greene - Hollywood,0.3958366920475233,Leadbelly - Backwater Blues,0.29882787190442106,Rivulets - Can't I Wonder,0.27866018395579595
